20,176.5739746,176.573975
20.80613005,165.0269775,165.026978
21.64475239,169.3926392,169.392639
22.51717666,177.6825562,177.682556
23.42476531,163.8972778,163.897278
24.36893567,172.6840668,172.684067
25.35116224,157.6631165,157.663116
26.37297894,166.6210327,166.621033
27.43598148,156.9107666,156.910767
28.54182994,166.6239624,166.623962
29.69225129,165.1572571,165.157257
30.8890421,165.666153,165.666153
32.13407136,162.0042114,162.004211
33.42928339,159.6565552,159.656555
34.7767009,157.5830841,157.583084
36.17842808,164.8258972,164.825897
37.636654,164.3305969,164.330597
39.15365589,161.1933136,161.193314
40.73180283,161.7133789,161.713379
42.37355935,151.9849854,151.984985
44.08148934,154.7871552,154.787155
45.85826001,148.8076172,148.807617
47.70664609,139.7822418,139.782242
49.62953415,127.9386749,127.938675
51.6299271,-112.5579376,247.442062
53.7109489,-118.4299927,241.570007
55.87584941,-133.9766083,226.023392
58.12800949,-148.3029785,211.697021
60.47094626,-154.3136902,205.68631
62.90831862,-158.7919006,201.208099
65.44393293,-160.0309601,199.96904
68.081749,-162.1356201,197.86438
70.8258862,-162.9970703,197.00293
73.68062997,-164.2605896,195.73941
76.65043849,-165.9737701,194.02623
79.73994959,-167.1476135,192.852386
82.95398809,-169.7530365,190.246964
86.29757324,-170.0682526,189.931747
89.77592661,-170.9758911,189.024109
93.39448024,-171.6352539,188.364746
97.15888511,-171.97966,188.02034
101.07502,-172.2518921,187.748108
105.1490005,-172.8930817,187.106918
109.387189,-173.3144531,186.685547
113.7962041,-173.7028198,186.29718
118.3829311,-174.0699158,185.930084
123.154533,-174.3946228,185.605377
128.1184615,-174.6791077,185.320892
133.2824686,-174.9559021,185.044098
138.6546188,-175.2113037,184.788696
144.2433016,-175.4502869,184.549713
150.0572446,-175.672821,184.327179
156.1055274,-175.8796844,184.120316
162.3975952,-176.0740051,183.925995
168.9432743,-176.2577362,183.742264
175.7527869,-176.4297791,183.570221
182.8367671,-176.5931549,183.406845
190.2062777,-176.7470398,183.25296
197.8728276,-176.8923492,183.107651
205.8483892,-177.0300446,182.969955
214.1454179,-177.1603088,182.839691
222.7768708,-177.2845459,182.715454
231.7562273,-177.4022522,182.597748
241.0975103,-177.5143433,182.485657
250.8153078,-177.6213074,182.378693
260.9247957,-177.7233276,182.276672
271.4417617,-177.8202972,182.179703
282.3826298,-177.912735,182.087265
293.764486,-178.0016327,181.998367
305.6051051,-178.0865173,181.913483
317.9229781,-178.1672363,181.832764
330.7373414,-178.2451172,181.754883
344.068207,-178.3193054,181.680695
357.9363931,-178.3904114,181.609589
372.3635573,-178.4587402,181.54126
387.3722301,-178.5241089,181.475891
402.9858499,-178.5868225,181.413177
419.2288002,-178.6469574,181.353043
436.1264469,-178.7059021,181.294098
453.7051788,-178.7602539,181.239746
471.9924478,-178.8149567,181.185043
491.0168127,-178.8661194,181.133881
510.8079832,-178.8925171,181.107483
531.3968665,-178.9637146,181.036285
552.8156158,-179.0100708,180.989929
575.0976799,-179.0539551,180.946045
598.2778561,-179.0968323,180.903168
622.3923442,-179.1381989,180.861801
647.4788029,-179.1785278,180.821472
673.576409,-179.2166443,180.783356
700.7259184,-179.2541046,180.745895
728.9697295,-179.2902222,180.709778
758.3519499,-179.3250885,180.674911
788.9184648,-179.3588409,180.641159
820.7170091,-179.3916168,180.608383
853.7972414,-179.4234314,180.576569
888.2108223,-179.4544525,180.545547
924.0114942,-179.4845123,180.515488
961.255166,-179.5137634,180.486237
1000,-179.5420532,180.457947
