"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,57.220458984375
20.8061300545201,57.220458984375
21.6447523922802,57.220458984375
22.5171766635833,57.220458984375
23.424765306156,57.220458984375
24.3689356728246,57.220458984375
25.3511622449511,57.220458984375
26.3729789350846,57.220458984375
27.4359814824244,57.220458984375
28.5418299448364,57.220458984375
29.6922512913131,57.220458984375
30.8890420989276,57.220458984375
32.1340713584917,57.220458984375
33.4292833933003,57.220458984375
34.7767008955208,57.220458984375
36.1784280849675,57.220458984375
37.6366539951968,57.220458984375
39.1536558920519,57.220458984375
40.7318028299979,57.220458984375
42.3735593518003,57.220458984375
44.0814893373241,57.220458984375
45.8582600074653,57.220458984375
47.706646089466,57.220458984375
49.6295341501196,57.220458984375
51.6299271036318,57.220458984375
53.7109489011777,57.220458984375
55.8758494094793,57.220458984375
58.1280094860203,57.220458984375
60.4709462588258,57.220458984375
62.9083186190512,57.220458984375
65.4439329349583,57.220458984375
68.0817489962017,76.2939453125
70.8258861977082,76.2939453125
73.6806299728078,76.2939453125
76.6504384856605,76.2939453125
79.7399495934322,76.2939453125
82.9539880890913,76.2939453125
86.2975732361372,95.367431640625
89.7759266070271,95.367431640625
93.3944802375429,95.367431640625
97.1588851098311,95.367431640625
101.075019977366,95.367431640625
105.149000545615,114.44091796875
109.387189022743,114.44091796875
113.796204055278,114.44091796875
118.382931064241,114.44091796875
123.154532997895,114.44091796875
128.118461517894,133.514404296875
133.282468636316,133.514404296875
138.654618821735,133.514404296875
144.243301593246,152.587890625
150.057244622122,152.587890625
156.10552736154,152.587890625
162.397595225683,171.661376953125
168.943274340343,171.661376953125
175.752786888082,171.661376953125
182.83676707189,190.73486328125
190.206277722287,190.73486328125
197.872827573803,190.73486328125
205.848389237809,209.808349609375
214.145417899766,209.808349609375
222.776870770104,228.8818359375
231.75622731909,228.8818359375
241.097510327296,247.955322265625
250.815307784536,247.955322265625
260.924795671477,267.02880859375
271.441761659491,267.02880859375
282.382629765771,286.102294921875
293.764486002201,286.102294921875
305.605105058052,305.17578125
317.922978058155,324.249267578125
330.737341439916,324.249267578125
344.068206994255,343.32275390625
357.936393117401,362.396240234375
372.363557322323,381.4697265625
387.3722300606,381.4697265625
402.985849907516,400.543212890625
419.228800165355,419.61669921875
436.126446942039,438.690185546875
453.705178764591,457.763671875
471.992447789268,476.837158203125
491.01681267274,495.91064453125
510.807983171248,514.984130859375
531.396866537404,534.0576171875
552.815615787084,553.131103515625
575.097679911784,572.20458984375
598.277856114867,591.278076171875
622.392344153269,629.425048828125
647.478802869527,648.49853515625
673.576409002418,667.572021484375
700.725918368046,705.718994140625
728.96972950693,724.79248046875
758.351949896475,762.939453125
788.918464832248,782.012939453125
820.717009085604,820.159912109375
853.797241449591,858.306884765625
888.210822289534,896.453857421875
924.011494219414,915.52734375
961.255166030028,953.67431640625
1000,991.8212890625

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)"
20,176.573974609375
20.8061300545201,165.026977539062
21.6447523922802,169.392639160156
22.5171766635833,177.682556152344
23.424765306156,163.897277832031
24.3689356728246,172.684066772461
25.3511622449511,157.663116455078
26.3729789350846,166.621032714844
27.4359814824244,156.910766601562
28.5418299448364,166.623962402344
29.6922512913131,165.157257080078
30.8890420989276,165.666152954102
32.1340713584917,162.004211425781
33.4292833933003,159.656555175781
34.7767008955208,157.583084106445
36.1784280849675,164.825897216797
37.6366539951968,164.330596923828
39.1536558920519,161.193313598633
40.7318028299979,161.71337890625
42.3735593518003,151.984985351562
44.0814893373241,154.787155151367
45.8582600074653,148.8076171875
47.706646089466,139.782241821289
49.6295341501196,127.938674926758
51.6299271036318,-112.55793762207
53.7109489011777,-118.429992675781
55.8758494094793,-133.976608276367
58.1280094860203,-148.302978515625
60.4709462588258,-154.313690185547
62.9083186190512,-158.791900634766
65.4439329349583,-160.030960083008
68.0817489962017,-162.135620117187
70.8258861977082,-162.9970703125
73.6806299728078,-164.260589599609
76.6504384856605,-165.973770141602
79.7399495934322,-167.147613525391
82.9539880890913,-169.753036499023
86.2975732361372,-170.068252563477
89.7759266070271,-170.975891113281
93.3944802375429,-171.63525390625
97.1588851098311,-171.97966003418
101.075019977366,-172.251892089844
105.149000545615,-172.893081665039
109.387189022743,-173.314453125
113.796204055278,-173.702819824219
118.382931064241,-174.069915771484
123.154532997895,-174.394622802734
128.118461517894,-174.679107666016
133.282468636316,-174.955902099609
138.654618821735,-175.211303710937
144.243301593246,-175.450286865234
150.057244622122,-175.672821044922
156.10552736154,-175.879684448242
162.397595225683,-176.074005126953
168.943274340343,-176.257736206055
175.752786888082,-176.429779052734
182.83676707189,-176.593154907227
190.206277722287,-176.747039794922
197.872827573803,-176.892349243164
205.848389237809,-177.030044555664
214.145417899766,-177.160308837891
222.776870770104,-177.284545898437
231.75622731909,-177.402252197266
241.097510327296,-177.514343261719
250.815307784536,-177.621307373047
260.924795671477,-177.723327636719
271.441761659491,-177.820297241211
282.382629765771,-177.912734985352
293.764486002201,-178.00163269043
305.605105058052,-178.086517333984
317.922978058155,-178.167236328125
330.737341439916,-178.2451171875
344.068206994255,-178.319305419922
357.936393117401,-178.390411376953
372.363557322323,-178.458740234375
387.3722300606,-178.524108886719
402.985849907516,-178.586822509766
419.228800165355,-178.646957397461
436.126446942039,-178.705902099609
453.705178764591,-178.76025390625
471.992447789268,-178.814956665039
491.01681267274,-178.866119384766
510.807983171248,-178.892517089844
531.396866537404,-178.963714599609
552.815615787084,-179.010070800781
